cbo,dit,fanin,fanout,lcom,noc,loc,rfc,wmc,totalMethodsQty,protectedMethodsQty,publicMethodsQty,privateMethodsQty,finalFieldsQty,protectedFieldsQty,publicFieldsQty,privateFieldsQty,predicted_bug
4,2,0,4,0,0,5,0,1,1,0,1,0,0,0,0,0,1
9,2,0,9,3,0,12,1,3,3,1,2,0,1,0,0,1,1
10,3,4,10,21,3,23,9,7,7,0,7,0,0,0,0,0,0
1,1,0,1,0,0,4,0,1,1,0,1,0,0,0,0,0,0
1,1,0,1,1,0,8,0,2,2,0,1,1,0,0,0,0,1
2,1,0,2,1,0,9,0,2,2,0,2,0,0,0,1,0,0
2,1,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0
3,3,0,3,0,0,4,0,0,0,0,0,0,1,0,0,1,0
12,3,0,12,0,0,89,26,29,28,4,24,0,1,1,0,0,0
0,1,0,0,1,0,11,0,3,3,0,3,0,0,0,1,0,1
1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0
1,3,2,1,1,0,8,0,2,2,0,2,0,0,0,0,0,0
11,2,1,11,0,0,63,28,9,5,1,4,0,4,0,0,1,0
0,1,0,0,0,0,6,0,1,1,0,1,0,0,0,1,0,0
6,4,2,6,0,0,71,5,27,21,0,21,0,1,1,0,0,0
3,2,0,3,0,0,14,4,1,1,0,1,0,0,0,0,0,1
4,2,0,4,1,0,10,2,2,2,0,2,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,2,0,1,0,0,5,1,1,1,0,1,0,0,0,0,0,1
5,2,0,5,0,0,30,5,1,1,0,1,0,1,0,0,1,1
0,1,0,0,0,0,7,2,1,1,0,1,0,1,0,1,0,1
0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,9,4,2,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,9,0,2,2,0,1,0,0,0,0,1,1
4,2,0,4,0,0,6,0,0,0,0,0,0,0,0,4,0,1
14,2,0,14,27,0,214,12,11,10,0,10,0,5,0,0,5,1
2,1,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,6,0,1,1,0,1,0,0,0,1,0,0
4,1,0,4,97,0,101,8,22,15,4,11,0,0,4,0,0,0
3,1,0,3,0,0,15,7,2,1,0,1,0,1,0,0,1,1
5,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,1
