index;cbo;dit;fanin;fanout;lcom;noc;loc;rfc;wmc;totalMethodsQty;protectedMethodsQty;publicMethodsQty;privateMethodsQty;finalFieldsQty;protectedFieldsQty;publicFieldsQty;privateFieldsQty;bugs
8237;0;1;0;0;0;0;5;4;1;1;0;1;0;0;0;0;0;0
8238;0;1;0;0;0;0;5;3;1;1;0;1;0;0;0;0;0;0
8239;6;1;0;6;0;0;14;4;1;1;0;1;0;0;0;0;0;0
8240;1;2;1;1;0;0;10;0;2;2;1;1;0;0;0;0;2;0
8241;1;1;0;1;1;0;4;0;2;2;0;0;0;0;0;0;0;0
8242;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8243;0;1;0;0;0;0;4;0;1;1;0;0;0;0;0;0;0;0
8244;0;1;0;0;1;0;8;0;2;2;0;2;0;0;0;0;0;0
8245;2;2;0;2;0;0;6;1;1;1;0;1;0;0;0;0;1;0
8246;1;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8247;3;1;0;3;0;0;18;4;1;1;0;1;0;0;0;0;0;0
8248;5;1;0;5;1;0;10;5;2;2;0;2;0;0;0;0;0;0
8249;10;2;1;10;0;0;13;7;4;1;0;1;0;0;0;0;1;0
8250;4;2;1;4;0;0;10;3;2;2;1;1;0;0;0;0;1;0
8251;0;1;2;0;3;0;5;0;3;3;0;0;0;0;0;0;0;0
8252;0;1;0;0;0;0;4;0;1;1;0;0;0;0;0;0;0;0
8253;1;1;0;1;0;0;8;5;1;1;0;1;0;0;0;0;0;0
8254;4;1;0;4;0;0;23;1;1;1;0;1;0;0;0;0;0;0
8255;2;1;0;2;1;0;14;8;2;2;0;2;0;0;0;0;0;0
8256;2;1;0;2;0;0;24;2;7;4;0;4;0;0;0;0;1;0
8257;1;1;0;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0
8258;6;1;0;6;4;0;69;23;13;4;0;2;1;0;0;0;1;0
8259;2;1;5;2;6;0;24;3;7;4;0;3;1;0;0;0;0;0
8260;1;1;0;1;0;0;8;4;1;1;0;1;0;0;0;0;0;0
8261;8;1;0;8;0;0;19;3;3;3;0;3;0;0;0;1;2;0
8262;12;2;0;12;0;0;103;26;19;19;0;19;0;0;0;0;3;1
8263;8;1;0;8;0;0;16;8;1;1;0;1;0;0;0;1;0;0
8264;4;1;5;4;10;0;16;6;6;5;0;0;0;0;0;0;0;0
8265;2;1;0;2;0;0;6;1;1;1;0;0;0;0;0;0;0;0
8266;6;1;0;6;3;0;16;0;3;3;0;3;0;0;0;0;1;0
8267;4;1;8;4;0;0;17;1;2;2;0;1;1;0;0;0;0;0
8268;2;1;2;2;3;0;5;0;3;3;0;0;0;0;0;0;0;0
8269;18;2;0;18;116;0;214;44;22;16;0;16;0;0;0;1;0;0
8270;3;1;0;3;0;0;8;2;1;1;0;0;0;0;0;0;0;0
8271;5;1;6;5;1;0;21;0;5;2;0;0;0;0;0;0;0;0
8272;12;1;2;12;21;0;80;39;23;7;0;1;6;0;0;0;0;1
8273;1;1;0;1;1;0;9;1;2;2;0;0;0;1;0;0;0;0
8274;6;1;0;6;0;0;17;9;1;1;0;1;0;0;0;0;1;0
8275;0;1;0;0;0;0;3;0;1;1;0;0;0;0;0;0;0;0
8276;8;2;0;8;0;0;28;11;1;1;0;1;0;0;0;0;1;0
8277;12;2;0;12;0;0;65;18;10;6;0;6;0;0;0;0;0;0
8278;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0
8279;2;1;0;2;0;0;10;7;1;1;0;1;0;0;0;0;0;0
8280;3;2;0;3;0;0;39;2;1;1;0;1;0;0;0;0;0;0
8281;7;1;0;7;1;0;14;1;2;2;0;2;0;0;0;0;3;0
8282;1;1;0;1;1;0;8;1;2;2;0;1;0;0;0;0;0;0
8283;1;2;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8284;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8285;1;1;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0
